time_since_epoch_ms,sensor_time_ns,sensor_name,sensor_type,index,value
1476880377277,68801077018822,LGE Magnetometer,android.sensor.magnetic_field,0,1.6719818115234375
1476880377277,68801077018822,LGE Magnetometer,android.sensor.magnetic_field,1,16.429901123046875
1476880377277,68801077018822,LGE Magnetometer,android.sensor.magnetic_field,2,-44.45972442626953
1476880377277,68801089469994,LGE Accelerometer,android.sensor.accelerometer,0,0.724029541015625
1476880377277,68801089469994,LGE Accelerometer,android.sensor.accelerometer,1,-0.538970947265625
1476880377277,68801089469994,LGE Accelerometer,android.sensor.accelerometer,2,10.176498413085938
1476880377277,68801074516381,LGE Gyroscope,android.sensor.gyroscope,0,-0.2754058837890625
1476880377278,68801074516381,LGE Gyroscope,android.sensor.gyroscope,1,-0.1375579833984375
1476880377278,68801074516381,LGE Gyroscope,android.sensor.gyroscope,2,0.033843994140625
1476880377278,68801097190942,LGE Magnetometer,android.sensor.magnetic_field,0,1.403045654296875
1476880377278,68801097190942,LGE Magnetometer,android.sensor.magnetic_field,1,16.697120666503906
1476880377278,68801097190942,LGE Magnetometer,android.sensor.magnetic_field,2,-44.285011291503906
1476880377278,68801109520043,LGE Accelerometer,android.sensor.accelerometer,0,0.6354522705078125
1476880377278,68801109520043,LGE Accelerometer,android.sensor.accelerometer,1,-0.40728759765625
1476880377278,68801109520043,LGE Accelerometer,android.sensor.accelerometer,2,9.965805053710938
1476880377278,68801094566430,LGE Gyroscope,android.sensor.gyroscope,0,-0.37713623046875
1476880377278,68801094566430,LGE Gyroscope,android.sensor.gyroscope,1,-0.1442108154296875
1476880377278,68801094566430,LGE Gyroscope,android.sensor.gyroscope,2,0.039703369140625
1476880377290,68801117302026,LGE Magnetometer,android.sensor.magnetic_field,0,1.761627197265625
1476880377290,68801117302026,LGE Magnetometer,android.sensor.magnetic_field,1,16.78619384765625
1476880377290,68801117302026,LGE Magnetometer,android.sensor.magnetic_field,2,-44.02313232421875
1476880377294,68801129570092,LGE Accelerometer,android.sensor.accelerometer,0,0.44989013671875
1476880377294,68801129570092,LGE Accelerometer,android.sensor.accelerometer,1,-0.554534912109375
1476880377294,68801129570092,LGE Accelerometer,android.sensor.accelerometer,2,9.706039428710938
1476880377294,68801114585961,LGE Gyroscope,android.sensor.gyroscope,0,-0.3241424560546875
1476880377294,68801114585961,LGE Gyroscope,android.sensor.gyroscope,1,-0.0565948486328125
1476880377294,68801114585961,LGE Gyroscope,android.sensor.gyroscope,2,0.0453033447265625
1476880377299,68801137413110,LGE Magnetometer,android.sensor.magnetic_field,0,1.6719818115234375
1476880377299,68801137413110,LGE Magnetometer,android.sensor.magnetic_field,1,16.964340209960938
1476880377299,68801137413110,LGE Magnetometer,android.sensor.magnetic_field,2,-43.848609924316406
1476880377312,68801149620141,LGE Accelerometer,android.sensor.accelerometer,0,0.8162078857421875
1476880377312,68801149620141,LGE Accelerometer,android.sensor.accelerometer,1,-0.560516357421875
1476880377313,68801149620141,LGE Accelerometer,android.sensor.accelerometer,2,9.837722778320313
1476880377313,68801134636010,LGE Gyroscope,android.sensor.gyroscope,0,-0.1342620849609375
1476880377313,68801134636010,LGE Gyroscope,android.sensor.gyroscope,1,-0.08135986328125
1476880377313,68801134636010,LGE Gyroscope,android.sensor.gyroscope,2,0.017333984375
1476880377320,68801157585229,LGE Magnetometer,android.sensor.magnetic_field,0,1.8512725830078125
1476880377320,68801157585229,LGE Magnetometer,android.sensor.magnetic_field,1,17.409706115722656
1476880377320,68801157585229,LGE Magnetometer,android.sensor.magnetic_field,2,-43.848609924316406
1476880377332,68801169670190,LGE Accelerometer,android.sensor.accelerometer,0,0.8102264404296875
1476880377332,68801169670190,LGE Accelerometer,android.sensor.accelerometer,1,-0.58087158203125
1476880377333,68801169670190,LGE Accelerometer,android.sensor.accelerometer,2,10.123825073242188
1476880377338,68801154716576,LGE Gyroscope,android.sensor.gyroscope,0,-0.058624267578125
1476880377338,68801154716576,LGE Gyroscope,android.sensor.gyroscope,1,-0.1588592529296875
1476880377338,68801154716576,LGE Gyroscope,android.sensor.gyroscope,2,0.0341033935546875
1476880377338,68801177726830,LGE Magnetometer,android.sensor.magnetic_field,0,2.0305633544921875
1476880377338,68801177726830,LGE Magnetometer,android.sensor.magnetic_field,1,17.76599884033203
1476880377338,68801177726830,LGE Magnetometer,android.sensor.magnetic_field,2,-43.848609924316406
1476880377351,68801189720238,LGE Accelerometer,android.sensor.accelerometer,0,0.3768768310546875
1476880377351,68801189720238,LGE Accelerometer,android.sensor.accelerometer,1,-0.6263580322265625
1476880377351,68801189720238,LGE Accelerometer,android.sensor.accelerometer,2,10.014892578125
1476880377351,68801174766625,LGE Gyroscope,android.sensor.gyroscope,0,0.020477294921875
1476880377351,68801174766625,LGE Gyroscope,android.sensor.gyroscope,1,-0.2094573974609375
1476880377351,68801174766625,LGE Gyroscope,android.sensor.gyroscope,2,0.0295867919921875
1476880377358,68801197837914,LGE Magnetometer,android.sensor.magnetic_field,0,1.8512725830078125
1476880377358,68801197837914,LGE Magnetometer,android.sensor.magnetic_field,1,17.94414520263672
1476880377358,68801197837914,LGE Magnetometer,android.sensor.magnetic_field,2,-43.848609924316406
1476880377372,68801209770287,LGE Accelerometer,android.sensor.accelerometer,0,0.532501220703125
1476880377372,68801209770287,LGE Accelerometer,android.sensor.accelerometer,1,-0.6215667724609375
1476880377372,68801209770287,LGE Accelerometer,android.sensor.accelerometer,2,9.907150268554688
1476880377372,68801194816674,LGE Gyroscope,android.sensor.gyroscope,0,0.1264801025390625
1476880377372,68801194816674,LGE Gyroscope,android.sensor.gyroscope,1,-0.093353271484375
1476880377372,68801194816674,LGE Gyroscope,android.sensor.gyroscope,2,-0.0135650634765625
1476880377377,68801217979516,LGE Magnetometer,android.sensor.magnetic_field,0,1.761627197265625
